iter	Passed	Remaining
0	140	140167
1	142	71165
2	144	48065
3	146	36486
4	147	29421
5	149	24691
6	150	21415
7	151	18843
8	153	16889
9	155	15345
10	157	14128
11	158	13077
12	160	12189
13	161	11407
14	163	10731
15	164	10115
16	165	9594
17	166	9109
18	168	8684
19	169	8324
20	171	7990
21	172	7664
22	173	7360
23	174	7082
24	175	6825
25	175	6590
26	176	6370
27	177	6168
28	178	5977
29	179	5800
30	180	5633
31	181	5479
32	182	5352
33	184	5228
34	185	5103
35	186	4987
36	187	4877
37	188	4766
38	189	4660
39	190	4560
40	190	4463
41	191	4373
42	192	4294
43	194	4220
44	195	4144
45	196	4075
46	197	4010
47	199	3952
48	200	3889
49	201	3828
50	202	3768
51	203	3708
52	204	3651
53	205	3596
54	206	3543
55	207	3494
56	208	3444
57	209	3395
58	209	3349
59	210	3303
60	212	3266
61	213	3226
62	214	3189
63	215	3150
64	216	3113
65	217	3078
66	219	3050
67	219	3012
68	221	2984
69	222	2958
70	223	2925
71	224	2894
72	225	2863
73	226	2838
74	228	2814
75	229	2789
76	230	2763
77	231	2737
78	232	2711
79	233	2684
80	234	2658
81	235	2632
82	236	2608
83	236	2583
84	237	2557
85	238	2533
86	238	2507
87	239	2486
88	240	2464
89	242	2449
90	243	2430
91	244	2411
92	245	2394
93	246	2379
94	247	2362
95	249	2345
96	250	2328
97	250	2309
98	251	2292
99	252	2274
100	253	2257
101	254	2236
102	254	2220
103	255	2204
104	257	2193
105	258	2184
106	260	2170
107	261	2155
108	261	2141
109	263	2131
110	264	2118
111	265	2104
112	266	2091
113	267	2077
114	268	2064
115	268	2049
116	269	2036
117	271	2025
118	272	2017
119	273	2008
120	275	1997
121	275	1986
122	276	1971
123	277	1960
124	278	1948
125	279	1937
126	280	1925
127	280	1912
128	281	1902
129	282	1890
130	283	1880
131	284	1869
132	285	1859
133	286	1850
134	287	1843
135	288	1834
136	289	1826
137	290	1816
138	291	1807
139	292	1797
140	293	1788
141	294	1779
142	295	1770
